"Latitude","Longitude","Name","Beschreibung","Termin Start","Uhrzeit Start","Termin Ende","Uhrzeit Ende","Aufbau ab","Abbau bis","Bedarf KBS","Bedarf SBS","Altstadterhaltung","Verrechnungsstelle KBS","Verrechnungsstelle SBS","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","12.09.2021","14:00","12.09.2021","16:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","02.10.2021","14:00","02.10.2021","16:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","02.10.2021","20:00","02.10.2021","22:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","10.10.2021","10:00","10.10.2021","12:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","10.10.2021","14:00","10.10.2021","16:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","24.10.2021","10:00","24.10.2021","12:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","24.10.2021","14:00","24.10.2021","16:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","07.11.2021","10:00","07.11.2021","12:00","","","","","","","","","","","","","","","","","","",""
"48.03688310674553","14.417828332158997","Schmiedeworkshops im Innerberger Stadel","","07.11.2021","14:00","07.11.2021","16:00","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","03.07.2021","21:30","03.07.2021","23:30","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","10.07.2021","21:30","10.07.2021","23:30","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","17.07.2021","21:30","17.07.2021","23:30","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","24.07.2021","21:30","24.07.2021","23:30","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","31.07.2021","21:30","31.07.2021","23:30","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","07.08.2021","21:00","07.08.2021","23:00","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","14.08.2021","21:00","14.08.2021","23:00","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","21.08.2021","21:00","21.08.2021","23:00","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","28.08.2021","21:00","28.08.2021","23:00","","","","","","","","","","","","","","","","","","",""
"48.04517015198434","14.416946405632753","Sommerkino Wieserfeldplatz","","04.09.2021","21:00","04.09.2021","23:00","","","","","","","","","","","","","","","","","","",""
